430,BUKIT MERAH,4 ROOM,420000
431,BUKIT MERAH,5 ROOM,625000
432,BUKIT MERAH,5 ROOM,620000
433,BUKIT MERAH,5 ROOM,1010888
434,BUKIT MERAH,5 ROOM,963000
435,BUKIT MERAH,5 ROOM,860000
436,BUKIT MERAH,5 ROOM,880000
437,BUKIT MERAH,5 ROOM,800000
438,BUKIT MERAH,5 ROOM,535000
439,BUKIT MERAH,5 ROOM,910000
440,BUKIT MERAH,5 ROOM,650000
441,BUKIT MERAH,5 ROOM,900000
442,BUKIT MERAH,5 ROOM,865000
443,BUKIT MERAH,5 ROOM,750000
444,BUKIT MERAH,5 ROOM,925000
445,BUKIT MERAH,5 ROOM,838000
446,BUKIT MERAH,5 ROOM,885000
447,BUKIT MERAH,5 ROOM,870000
448,BUKIT MERAH,5 ROOM,851788
449,BUKIT MERAH,5 ROOM,750000
450,BUKIT MERAH,5 ROOM,668000
451,BUKIT MERAH,5 ROOM,530000
452,BUKIT MERAH,5 ROOM,635000
453,BUKIT MERAH,5 ROOM,648000
454,BUKIT MERAH,5 ROOM,710000
455,BUKIT MERAH,5 ROOM,813000
456,BUKIT MERAH,5 ROOM,640000
457,BUKIT PANJANG,2 ROOM,240000
458,BUKIT PANJANG,2 ROOM,290000
459,BUKIT PANJANG,3 ROOM,338000
460,BUKIT PANJANG,3 ROOM,350000
461,BUKIT PANJANG,3 ROOM,305000
462,BUKIT PANJANG,3 ROOM,310000
463,BUKIT PANJANG,3 ROOM,296000
464,BUKIT PANJANG,3 ROOM,298000
465,BUKIT PANJANG,3 ROOM,315000
466,BUKIT PANJANG,3 ROOM,324000
467,BUKIT PANJANG,3 ROOM,350000
468,BUKIT PANJANG,3 ROOM,355000
469,BUKIT PANJANG,3 ROOM,370888
470,BUKIT PANJANG,4 ROOM,338000
471,BUKIT PANJANG,4 ROOM,395888
472,BUKIT PANJANG,4 ROOM,370000
473,BUKIT PANJANG,4 ROOM,370000
474,BUKIT PANJANG,4 ROOM,438000
475,BUKIT PANJANG,4 ROOM,400000
476,BUKIT PANJANG,4 ROOM,485000
477,BUKIT PANJANG,4 ROOM,471000
478,BUKIT PANJANG,4 ROOM,445000
479,BUKIT PANJANG,4 ROOM,395000
480,BUKIT PANJANG,4 ROOM,470000
481,BUKIT PANJANG,4 ROOM,475000
482,BUKIT PANJANG,4 ROOM,465000
483,BUKIT PANJANG,4 ROOM,470000
484,BUKIT PANJANG,4 ROOM,475000
485,BUKIT PANJANG,4 ROOM,417000
486,BUKIT PANJANG,4 ROOM,370000
487,BUKIT PANJANG,4 ROOM,350000
488,BUKIT PANJANG,4 ROOM,350000
489,BUKIT PANJANG,4 ROOM,372000
490,BUKIT PANJANG,4 ROOM,498000
491,BUKIT PANJANG,4 ROOM,593000
492,BUKIT PANJANG,4 ROOM,608000
493,BUKIT PANJANG,4 ROOM,470000
494,BUKIT PANJANG,4 ROOM,430000
495,BUKIT PANJANG,4 ROOM,365000
496,BUKIT PANJANG,4 ROOM,388000
497,BUKIT PANJANG,4 ROOM,390000
498,BUKIT PANJANG,4 ROOM,310000
499,BUKIT PANJANG,4 ROOM,410000
500,BUKIT PANJANG,4 ROOM,413000
501,BUKIT PANJANG,4 ROOM,378000
502,BUKIT PANJANG,4 ROOM,456000
503,BUKIT PANJANG,4 ROOM,455000
504,BUKIT PANJANG,4 ROOM,438888
505,BUKIT PANJANG,4 ROOM,455000
506,BUKIT PANJANG,4 ROOM,415000
507,BUKIT PANJANG,4 ROOM,428000
508,BUKIT PANJANG,4 ROOM,420000
509,BUKIT PANJANG,4 ROOM,420000
510,BUKIT PANJANG,4 ROOM,455000
511,BUKIT PANJANG,4 ROOM,460000
512,BUKIT PANJANG,4 ROOM,438000
513,BUKIT PANJANG,4 ROOM,425000
514,BUKIT PANJANG,4 ROOM,420000
515,BUKIT PANJANG,4 ROOM,452500
516,BUKIT PANJANG,4 ROOM,450000
517,BUKIT PANJANG,4 ROOM,505000
518,BUKIT PANJANG,4 ROOM,480000
519,BUKIT PANJANG,4 ROOM,460000
520,BUKIT PANJANG,4 ROOM,490000
521,BUKIT PANJANG,4 ROOM,415000
522,BUKIT PANJANG,4 ROOM,420000
523,BUKIT PANJANG,4 ROOM,480000
524,BUKIT PANJANG,4 ROOM,495000
525,BUKIT PANJANG,4 ROOM,472000
526,BUKIT PANJANG,4 ROOM,445000
527,BUKIT PANJANG,4 ROOM,448000
528,BUKIT PANJANG,4 ROOM,470000
529,BUKIT PANJANG,4 ROOM,468000
530,BUKIT PANJANG,5 ROOM,538000
531,BUKIT PANJANG,5 ROOM,610000
532,BUKIT PANJANG,5 ROOM,455000
533,BUKIT PANJANG,5 ROOM,535000
534,BUKIT PANJANG,5 ROOM,488000
535,BUKIT PANJANG,5 ROOM,610000
536,BUKIT PANJANG,5 ROOM,425000
537,BUKIT PANJANG,5 ROOM,600000
538,BUKIT PANJANG,5 ROOM,525000
539,BUKIT PANJANG,5 ROOM,555000
540,BUKIT PANJANG,5 ROOM,475000
541,BUKIT PANJANG,5 ROOM,490000
542,BUKIT PANJANG,5 ROOM,450000
543,BUKIT PANJANG,5 ROOM,480000
544,BUKIT PANJANG,5 ROOM,485000
545,BUKIT PANJANG,5 ROOM,440000
